Identificacion,Apellidos,Nombres,Edad,Genero,Ubicacion,Curso,Nivel,CalificacionMision1,CalificacionMision2,CalificacionMision3,CalificacionFinal
175682867,Castro Flores,Gabriel,28,M,Cartagena,Blockchain,Avanzado,4.6,4.8,4.5,5.0
123953367,Ramírez Gutiérrez,Carolina,23,F,Cartagena,Análisis de datos,Avanzado,4.5,4.8,4.7,5.0
176209791,Rodríguez Flores,Gabriela,33,F,Sincelejo,Inteligencia artificial,Básico,4.9,4.8,4.7,5.0
166972561,Romero Ortiz,Sergio,45,M,Montería,Análisis de datos,Avanzado,4.8,4.8,4.9,5.0
183506850,López Sánchez,María,21,F,Sincelejo,Inteligencia artificial,Básico,4.9,4.7,4.7,5.0
197655395,Rodríguez Ruiz,Luis,33,M,Montería,Blockchain,Básico,4.8,4.8,5.0,5.0
167055419,Ruiz Álvarez,Ana,26,F,Cartagena,Blockchain,Avanzado,4.6,4.5,4.6,5.0
154054178,Mendoza Soto,David,44,M,Montería,Arquitectura en la nube,Avanzado,4.5,4.7,4.7,5.0
156626914,Morales Morales,Pedro,39,M,Cartagena,Inteligencia artificial,Intermedio,4.9,4.7,4.8,5.0
183619289,Castro Castro,Miguel,30,M,MOntería,Arquitectura en la nube,Avanzado,4.8,4.8,4.6,5.0
132993420,Pérez Rodríguez,Sebastián,44,M,MOntería,Análisis de datos,Intermedio,4.6,4.7,4.9,5.0
160873983,Romero Ramírez,Camila,45,F,Sincelejo,Inteligencia artificial,Básico,4.7,4.7,4.6,5.0
122195226,Rodríguez Torres,Luis,22,M,Sincelejo,Arquitectura en la nube,Intermedio,4.7,4.5,4.6,5.0
117654909,González Castro,Paula,20,F,Montería,Análisis de datos,Intermedio,4.5,4.6,5.0,5.0
199386386,Flores Díaz,Elena,38,F,Sincelejo,Arquitectura en la nube,Avanzado,4.9,4.7,4.8,5.0
146634821,Sánchez Morales,Eduardo,33,M,Sincelejo,Programación,Avanzado,4.6,4.9,4.9,5.0
131114003,Morales Romero,Mariana,37,F,Montería,Programación,Intermedio,4.6,4.8,4.8,5.0
152090758,Martínez Flores,Carmen,43,F,Sincelejo,Blockchain,Intermedio,4.9,4.6,4.6,5.0
165223954,Flores Gutiérrez,Javier,20,M,Cartagena,Ciberseguridad,Básico,4.8,4.8,4.7,5.0
121310552,Soto Álvarez,Catalina,35,F,Sincelejo,Blockchain,Básico,4.6,4.7,4.9,5.0
133508102,Ruiz Mendoza,Paula,18,F,Cartagena,Ciberseguridad,Avanzado,1.2,2.3,1.3,1.6
137180308,Hernández Rodríguez,Eduardo,45,M,Cartagena,Arquitectura en la nube,Avanzado,0.1,2.5,1.4,1.4
146998516,Ortiz Soto,Laura,45,F,Montería,Arquitectura en la nube,Básico,2.1,0.7,1.2,1.4
141725526,Hernández Castro,Daniela,20,F,Sincelejo,Arquitectura en la nube,Básico,1.5,2.5,0.4,1.5
188725274,Pérez López,Elena,43,F,Cartagena,Arquitectura en la nube,Intermedio,2.0,2.2,2.7,2.4
158715257,Soto Flores,Patricia,21,F,Monteria,Análisis de datos,Avanzado,0.9,0.2,1.7,1.0
130153173,Gutiérrez Romero,Miguel,43,M,Sincelejo,Blockchain,Básico,2.1,0.9,0.4,1.2
176009351,Soto Mendoza,Carlos,29,M,Cartagena,Programación,Intermedio,0.3,0.3,2.9,1.2
154910237,Jiménez Torres,Paula,41,F,Cartagenna,Inteligencia artificial,Básico,1.7,1.0,0.5,1.1
110803328,Castro Ruiz,Sergio,39,M,Cartagena,Ciberseguridad,Avanzado,1.5,1.0,0.7,1.1
162496015,Mendoza Gutiérrez,Carlos,39,M,Cartagena,Blockchain,Intermedio,2.1,1.8,1.4,1.8
127541337,Torres Gómez,Emilio,38,M,Montería,Arquitectura en la nube,Básico,0.1,0.9,1.9,1.0
123470137,Gómez Pérez,Alejandro,41,M,Montería,Arquitectura en la nube,Intermedio,1.5,2.4,1.7,1.9
166564401,Fernández Gutiérrez,Emilio,18,M,Sincelejo,Ciberseguridad,Intermedio,0.5,0.2,0.3,0.4
188262145,González Ramírez,Sebastián,35,M,Cartagenna,Inteligencia artificial,Intermedio,2.0,0.7,0.4,1.1
149673332,Rodríguez Martínez,Santiago,28,M,Montería,Blockchain,Intermedio,2.0,2.5,1.2,2.0
110070640,Romero Morales,Sergio,41,M,Cartagena,Ciberseguridad,Avanzado,0.9,1.3,1.5,1.3
172784216,Fernández Rodríguez,Elena,44,F,Montería,Programación,Avanzado,1.7,1.2,1.5,1.5
199268367,Ruiz Ortiz,Fernando,20,M,Sincelejo,Arquitectura en la nube,Avanzado,2.3,2.4,3.0,2.6
127310852,Torres Pérez,David,28,M,Cartagena,Inteligencia artificial,Intermedio,1.1,0.6,1.2,1.0
